ft-MSL,acres,acre-feet
942.3,2101,23904
942.4,2114,24115
942.5,2126,24327
942.6,2139,24540
942.7,2152,24755
942.8,2165,24970
942.9,2178,25188
943.0,2191,25406
943.1,2204,25626
943.2,2219,25847
943.3,2233,26070
943.4,2247,26294
943.5,2261,26519
943.6,2275,26746
943.7,2289,26974
943.8,2303,27204
943.9,2318,27435
944.0,2332,27667
944.1,2346,27901
944.2,2360,28136
944.3,2374,28373
944.4,2388,28611
944.5,2402,28851
944.6,2417,29092
944.7,2431,29334
944.8,2445,29578
944.9,2460,29823
945.0,2474,30070
945.1,2488,30318
945.2,2503,30567
945.3,2517,30818
945.4,2532,31071
945.5,2546,31325
945.6,2560,31580
945.7,2575,31837
945.8,2589,32095
945.9,2604,32355
946.0,2619,32616
946.1,2634,32878
946.2,2649,33142
946.3,2664,33408
946.4,2679,33675
946.5,2694,33944
946.6,2710,34214
946.7,2726,34486
946.8,2742,34759
946.9,2758,35034
947.0,2775,35311
947.1,2791,35589
947.2,2808,35869
947.3,2824,36150
947.4,2840,36434
947.5,2857,36719
947.6,2873,37005
947.7,2889,37293
947.8,2905,37583
947.9,2920,37874
948.0,2936,38167
948.1,2951,38461
948.2,2967,38757
948.3,2982,39055
948.4,2998,39354
948.5,3014,39654
948.6,3030,39956
948.7,3046,40260
948.8,3061,40565
948.9,3077,40873
949.0,3093,41181
949.1,3109,41491
949.2,3124,41803
949.3,3140,42116
949.4,3155,42431
949.5,3171,42747
949.6,3186,43065
949.7,3202,43384
949.8,3218,43705
949.9,3234,44028
950.0,3250,44352
950.1,3266,44678
950.2,3282,45005
950.3,3298,45334
950.4,3315,45665
950.5,3332,45997
950.6,3348,46331
950.7,3364,46667
950.8,3380,47004
950.9,3397,47343
951.0,3413,47683
951.1,3429,48025
951.2,3446,48369
951.3,3462,48714
951.4,3478,49062
951.5,3495,49410
951.6,3511,49760
951.7,3527,50112
951.8,3544,50466
951.9,3560,50821
952.0,3576,51178
952.1,3593,51536
952.2,3609,51896
952.3,3626,52258
952.4,3642,52622
952.5,3658,52987
952.6,3675,53353
952.7,3692,53722
952.8,3708,54091
952.9,3725,54463
953.0,3742,54837
953.1,3759,55212
953.2,3776,55588
953.3,3792,55967
953.4,3809,56347
953.5,3826,56729
953.6,3843,57112
953.7,3859,57497
953.8,3876,57884
953.9,3893,58272
954.0,3911,58663
954.1,3928,59054
954.2,3945,59448
954.3,3963,59843
954.4,3980,60241
954.5,3997,60640
954.6,4016,61040
954.7,4034,61443
954.8,4053,61847
954.9,4072,62253
955.0,4092,62662
955.1,4113,63072
955.2,4135,63484
955.3,4155,63899
955.4,4175,64315
955.5,4195,64734
955.6,4214,65154
955.7,4234,65577
955.8,4254,66001
955.9,4274,66428
956.0,4295,66856
956.1,4315,67286
956.2,4336,67719
956.3,4356,68153
956.4,4377,68590
956.5,4397,69029
956.6,4418,69469
956.7,4438,69912
956.8,4459,70357
956.9,4479,70804
957.0,4500,71253
957.1,4522,71704
957.2,4543,72157
957.3,4564,72613
957.4,4584,73070
957.5,4605,73530
957.6,4626,73991
957.7,4647,74455
957.8,4668,74920
957.9,4689,75389
958.0,4711,75858
958.1,4733,76330
958.2,4754,76805
958.3,4775,77281
958.4,4797,77760
958.5,4818,78241
958.6,4840,78724
958.7,4861,79209
958.8,4883,79696
958.9,4904,80185
959.0,4926,80677
959.1,4947,81170
959.2,4969,81666
959.3,4990,82164
959.4,5012,82664
959.5,5033,83166
959.6,5054,83671
959.7,5076,84177
959.8,5097,84686
959.9,5118,85197
960.0,5140,85710
960.1,5161,86225
960.2,5183,86742
960.3,5204,87261
960.4,5226,87783
960.5,5247,88306
960.6,5269,88832
960.7,5290,89360
960.8,5311,89890
960.9,5333,90423
961.0,5354,90957
961.1,5375,91493
961.2,5397,92032
961.3,5418,92573
961.4,5440,93116
961.5,5461,93661
961.6,5482,94208
961.7,5504,94757
961.8,5525,95308
961.9,5547,95862
962.0,5568,96418
962.1,5590,96975
962.2,5612,97536
962.3,5633,98098
962.4,5655,98663
962.5,5677,99229
962.6,5699,99798
962.7,5721,100369
962.8,5744,100942
962.9,5767,101518
963.0,5791,102095
963.1,5814,102676
963.2,5837,103258
963.3,5860,103843
963.4,5883,104430
963.5,5906,105020
963.6,5929,105611
963.7,5951,106206
963.8,5975,106802
963.9,5998,107401
964.0,6021,108001
964.1,6044,108604
964.2,6067,109210
964.3,6090,109818
964.4,6113,110428
