ft-MSL, acres, acre-feet
537.0,1247,22225
537.1,1251,22350
537.2,1255,22475
537.3,1259,22601
537.4,1264,22727
537.5,1268,22854
537.6,1272,22981
537.7,1276,23108
537.8,1280,23236
537.9,1284,23364
538.0,1288,23493
538.1,1293,23622
538.2,1297,23751
538.3,1302,23881
538.4,1306,24012
538.5,1310,24142
538.6,1315,24274
538.7,1319,24405
538.8,1323,24537
538.9,1327,24670
539.0,1330,24803
539.1,1334,24936
539.2,1338,25070
539.3,1342,25203
539.4,1346,25338
539.5,1349,25473
539.6,1353,25608
539.7,1357,25743
539.8,1360,25879
539.9,1364,26015
540.0,1367,26152
540.1,1370,26289
540.2,1374,26426
540.3,1378,26563
540.4,1381,26701
540.5,1385,26840
540.6,1389,26978
540.7,1392,27117
540.8,1396,27257
540.9,1399,27396
541.0,1403,27537
541.1,1406,27677
541.2,1409,27818
541.3,1413,27959
541.4,1416,28100
541.5,1419,28242
541.6,1423,28384
541.7,1426,28526
541.8,1429,28669
541.9,1433,28812
542.0,1436,28956
542.1,1439,29099
542.2,1443,29244
542.3,1446,29388
542.4,1450,29533
542.5,1453,29678
542.6,1457,29823
542.7,1460,29969
542.8,1464,30115
542.9,1468,30262
543.0,1472,30409
543.1,1476,30556
543.2,1480,30704
543.3,1484,30852
543.4,1488,31001
543.5,1492,31150
543.6,1496,31299
543.7,1500,31449
543.8,1504,31599
543.9,1507,31750
544.0,1511,31901
544.1,1514,32052
544.2,1518,32204
544.3,1522,32356
544.4,1526,32508
544.5,1530,32661
544.6,1534,32814
544.7,1538,32968
544.8,1542,33122
544.9,1547,33276
545.0,1551,33431
545.1,1555,33586
545.2,1559,33742
545.3,1563,33898
545.4,1568,34055
545.5,1575,34212
545.6,1584,34370
545.7,1591,34528
545.8,1598,34688
545.9,1604,34848
546.0,1610,35008
546.1,1615,35170
546.2,1621,35332
546.3,1626,35494
546.4,1631,35657
546.5,1637,35820
546.6,1642,35984
546.7,1647,36148
546.8,1652,36313
546.9,1658,36479
547.0,1664,36645
547.1,1670,36812
547.2,1675,36979
547.3,1681,37147
547.4,1686,37315
547.5,1691,37484
547.6,1696,37653
547.7,1701,37823
547.8,1706,37993
547.9,1710,38164
548.0,1715,38335
548.1,1720,38507
548.2,1724,38679
548.3,1728,38852
548.4,1733,39025
548.5,1737,39198
548.6,1742,39372
548.7,1746,39547
548.8,1750,39722
548.9,1754,39897
549.0,1758,40072
549.1,1762,40248
549.2,1766,40425
549.3,1770,40602
549.4,1774,40779
549.5,1778,40956
549.6,1782,41134
549.7,1787,41313
549.8,1791,41492
549.9,1795,41671
550.0,1799,41851
550.1,1803,42031
550.2,1808,42212
550.3,1813,42393
550.4,1819,42574
550.5,1824,42756
550.6,1830,42939
550.7,1835,43122
550.8,1840,43306
550.9,1845,43490
551.0,1850,43675
551.1,1854,43860
551.2,1859,44046
551.3,1864,44232
551.4,1869,44418
551.5,1874,44606
551.6,1880,44793
551.7,1886,44982
551.8,1891,45170
551.9,1896,45360
552.0,1901,45550
552.1,1906,45740
552.2,1912,45931
552.3,1917,46122
552.4,1922,46314
552.5,1927,46507
552.6,1932,46699
552.7,1937,46893
552.8,1942,47087
552.9,1947,47281
553.0,1952,47476
553.1,1957,47672
553.2,1962,47868
553.3,1967,48064
553.4,1972,48261
553.5,1977,48458
553.6,1983,48656
553.7,1988,48855
553.8,1993,49054
553.9,1998,49253
554.0,2003,49453
554.1,2008,49654
554.2,2013,49855
554.3,2018,50056
554.4,2022,50259
554.5,2027,50461
554.6,2031,50664
554.7,2036,50867
554.8,2040,51071
554.9,2045,51275
555.0,2049,51480
555.1,2053,51685
555.2,2058,51891
555.3,2062,52097
555.4,2066,52303
555.5,2071,52510
555.6,2075,52717
555.7,2080,52925
555.8,2084,53133
555.9,2088,53342
556.0,2093,53551
556.1,2097,53760
556.2,2101,53970
556.3,2106,54180
556.4,2110,54391
556.5,2114,54602
556.6,2118,54814
556.7,2123,55026
556.8,2127,55239
556.9,2132,55452
557.0,2136,55665
557.1,2140,55879
557.2,2145,56093
557.3,2149,56308
557.4,2154,56523
557.5,2158,56738
557.6,2162,56954
557.7,2167,57171
557.8,2171,57388
557.9,2176,57605
558.0,2180,57823
558.1,2185,58041
